target,feature,horizon,threshold,n,n_pos,base_rate,auc,auc_ci_lo,auc_ci_hi,discrim,direction,pos_median,neg_median,top_q_wr,bot_q_wr,coverage
p_gain_2pct_5m,f_fear_greed,fwd_max_5m,0.02,3779,999,0.26435564964276265,0.6098,0.5893,0.6287,0.1098,+,21.0,12.0,36.96,20.13,0.959
p_gain_30pct,f_signals_1h,fwd_max_max,0.3,3776,22,0.005826271186440678,0.3913,0.2824,0.4925,0.1087,-,3.5,5.0,0.19,0.8,0.958
p_gain_5pct_max,f_fear_greed,fwd_max_max,0.05,3779,632,0.1672400105848108,0.606,0.5841,0.629,0.106,+,23.0,21.0,25.75,12.0,0.959
p_gain_1pct_5m,f_signals_1h,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.6041,0.5854,0.622,0.1041,+,6.0,4.0,54.19,34.33,0.958
p_gain_30pct,f_book_imbalance_10,fwd_max_max,0.3,3371,18,0.005339661821417977,0.4044,0.2535,0.553,0.0956,-,0.785,0.865,0.47,0.95,0.855
p_gain_10pct,f_spread_bps,fwd_max_max,0.1,3809,224,0.05880808611184038,0.4048,0.3702,0.4373,0.0952,-,8.9,12.7,3.77,8.25,0.966
p_gain_2pct_5m,f_signals_1h,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.5921,0.5734,0.6127,0.0921,+,6.0,5.0,33.78,19.81,0.958
p_gain_2pct_max,f_btc_rel_ret_5m,fwd_max_max,0.02,1877,819,0.43633457645178475,0.5895,0.5614,0.6184,0.0895,+,0.01692,0.011555,61.15,36.94,0.476
p_gain_30pct,f_ask_depth_usd,fwd_max_max,0.3,1655,17,0.01027190332326284,0.5889,0.4548,0.7119,0.0889,+,5296.51,4463.73,1.45,0.46,0.42
p_gain_5pct_max,f_ret_24h,fwd_max_max,0.05,3776,632,0.1673728813559322,0.5877,0.565,0.6132,0.0877,+,0.43167500000000003,0.30927,22.86,7.83,0.958
p_gain_3pct_5m,f_spread_bps,fwd_max_5m,0.03,3809,703,0.1845628773956419,0.4144,0.3941,0.4374,0.0856,-,8.8,13.1,14.36,24.97,0.966
p_gain_2pct_max,f_ret_24h,fwd_max_max,0.02,3776,1474,0.3903601694915254,0.5838,0.5642,0.6004,0.0838,+,0.38854,0.288115,43.92,21.8,0.958
p_gain_10pct,f_signals_24h,fwd_max_max,0.1,3776,224,0.059322033898305086,0.4198,0.3856,0.4516,0.0802,-,8.0,15.0,4.2,7.77,0.958
p_gain_5pct_5m,f_cvd_30s,fwd_max_5m,0.05,3776,429,0.11361228813559322,0.4225,0.3912,0.4505,0.0775,-,-1210.68,-18.06,10.06,15.01,0.958
p_gain_30pct,f_ret_24h,fwd_max_max,0.3,3776,22,0.005826271186440678,0.5763,0.4585,0.686,0.0763,+,0.245045,0.324505,0.74,0.0,0.958
p_gain_1pct_5m,f_signals_24h,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.5759,0.5579,0.5927,0.0759,+,19.0,11.0,53.2,33.6,0.958
p_gain_1pct_5m,f_fear_greed,fwd_max_5m,0.01,3779,1666,0.44085736967451705,0.5747,0.5583,0.5892,0.0747,+,21.0,12.0,53.94,39.4,0.959
p_gain_1pct_5m,f_cvd_60s,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.4268,0.409,0.4449,0.0732,-,-1136.51,44.22,39.96,54.34,0.958
p_gain_5pct_max,f_spread_bps,fwd_max_max,0.05,3809,634,0.16644788658440535,0.4271,0.402,0.4519,0.0729,-,9.149999999999999,12.8,12.68,21.32,0.966
p_gain_2pct_5m,f_cvd_60s,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.4278,0.4081,0.4491,0.0722,-,-1491.57,13.43,23.15,34.22,0.958
p_gain_5pct_max,f_cvd_60s,fwd_max_max,0.05,3776,632,0.1673728813559322,0.4301,0.4013,0.4532,0.0699,-,-1546.55,-49.87,14.38,22.14,0.958
p_gain_3pct_5m,f_btc_dom_pct,fwd_max_5m,0.03,3770,698,0.18514588859416445,0.5698,0.5434,0.5964,0.0698,+,57.25,57.21,26.78,14.51,0.956
p_gain_3pct_5m,f_cvd_60s,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.4313,0.4087,0.4566,0.0687,-,-1689.81,-17.24,16.6,24.36,0.958
p_gain_10pct,f_rank_60s,fwd_max_max,0.1,2941,190,0.06460387623257395,0.4335,0.4028,0.466,0.0665,-,1.0,1.0,4.26,7.82,0.746
p_gain_5pct_max,f_btc_dom_pct,fwd_max_max,0.05,3770,631,0.1673740053050398,0.5664,0.5388,0.5941,0.0664,+,57.25,57.21,20.48,12.2,0.956
p_gain_5pct_5m,f_candle_close_str_1m,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.5637,0.5332,0.5964,0.0637,+,0.9185000000000001,0.864,17.64,10.43,0.476
p_gain_2pct_5m,f_spread_bps,fwd_max_5m,0.02,3809,1003,0.26332370700971386,0.4364,0.4179,0.4561,0.0636,-,9.2,13.2,22.64,31.14,0.966
p_gain_2pct_max,f_fear_greed,fwd_max_max,0.02,3779,1474,0.39005027785128343,0.5632,0.5464,0.5798,0.0632,+,21.0,21.0,48.58,34.79,0.959
p_gain_10pct,f_signals_1h,fwd_max_max,0.1,3776,224,0.059322033898305086,0.438,0.4033,0.4775,0.062,-,4.0,5.0,5.2,7.62,0.958
p_gain_10pct,f_ask_depth_trend,fwd_max_max,0.1,1877,174,0.09270111880660628,0.4381,0.402,0.4787,0.0619,-,0.9635,1.0,6.6,10.62,0.476
p_gain_1pct_5m,f_candle_close_str_1m,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.5618,0.5375,0.5838,0.0618,+,0.907,0.83,52.36,37.23,0.476
p_gain_2pct_5m,f_btc_dom_pct,fwd_max_5m,0.02,3770,996,0.26419098143236075,0.5618,0.5392,0.5848,0.0618,+,57.24,57.21,36.81,23.34,0.956
p_gain_3pct_5m,f_signals_1h,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.5613,0.5362,0.5846,0.0613,+,6.0,5.0,23.1,15.46,0.958
p_gain_5pct_5m,f_ask_depth_trend,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.4393,0.406,0.4774,0.0607,-,0.961,1.0,12.55,19.96,0.476
p_gain_5pct_5m,f_rank_60s,fwd_max_5m,0.05,2941,396,0.1346480788847331,0.4416,0.416,0.4734,0.0584,-,1.0,1.0,9.86,15.7,0.746
p_gain_10pct,f_cg_trending,fwd_max_max,0.1,1877,174,0.09270111880660628,0.4424,0.4076,0.4818,0.0576,-,0.0,0.0,6.9,10.91,0.476
p_gain_5pct_max,f_cvd_30s,fwd_max_max,0.05,3776,632,0.1673728813559322,0.4429,0.4163,0.4661,0.0571,-,-672.02,-19.86,15.78,21.25,0.958
p_gain_5pct_max,f_ask_depth_trend,fwd_max_max,0.05,1877,408,0.21736814064997337,0.443,0.4117,0.4763,0.057,-,0.974,1.0,19.15,26.96,0.476
p_gain_3pct_5m,f_ask_depth_trend,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.4431,0.4144,0.4712,0.0569,-,0.974,1.0,20.64,30.36,0.476
p_gain_3pct_5m,f_candle_close_str_1m,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5559,0.5261,0.5868,0.0559,+,0.916,0.863,25.64,15.74,0.476
p_gain_2pct_max,f_signals_24h,fwd_max_max,0.02,3776,1474,0.3903601694915254,0.5554,0.5376,0.5735,0.0554,+,17.5,13.0,46.8,31.99,0.958
p_gain_2pct_5m,f_signals_24h,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.5545,0.5341,0.5744,0.0545,+,18.0,13.0,32.63,20.38,0.958
p_gain_1pct_5m,f_avg_trade_size_60s,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.5543,0.5266,0.5798,0.0543,+,145.42,130.48,54.04,42.13,0.476
p_gain_1pct_5m,f_cvd_30s,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.4459,0.4293,0.463,0.0541,-,-452.83000000000004,3.41,42.37,52.33,0.958
p_gain_30pct,f_higher_lows_3m,fwd_max_max,0.3,1877,21,0.011188066062866276,0.554,0.4323,0.6607,0.054,+,1.0,1.0,1.33,0.85,0.476
p_gain_2pct_5m,f_cvd_30s,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.4475,0.4284,0.4685,0.0525,-,-711.86,-4.21,25.74,31.4,0.958
p_gain_10pct,f_cvd_60s,fwd_max_max,0.1,3776,224,0.059322033898305086,0.4503,0.413,0.4884,0.0497,-,-1245.545,-203.02499999999998,5.29,6.99,0.958
p_gain_2pct_5m,f_rank_60s,fwd_max_5m,0.02,2941,877,0.2981978918735124,0.4513,0.4293,0.4718,0.0487,-,1.0,1.0,25.04,32.78,0.746
p_gain_3pct_5m,f_cvd_30s,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.4514,0.4315,0.4775,0.0486,-,-628.25,-18.06,17.8,22.2,0.958
